name,median,lo,hi,in
stredopravica,73.0,65,81,1.0
stredopravica + HLAS,98.0,89,109,1.0
stredopravica + HLAS bez OĽaNO,82.0,74,92,1.0
SMER + SNS + HLAS,73.0,63,80,1.0
pragmatici + nacionalisti + HLAS,75.0,65,82,1.0
pragmatici + nacionalisti,49.0,39,57,1.0
