id,median,lo,hi,in,seats
1,0.0,0,0,0.0,0
2,0.0,0,0,0.0,0
3,27.0,22,33,1.0,28
4,0.0,0,0,0.0,0
5,17.0,13,21,0.998,17
6,0.0,0,0,0.0,0
7,0.0,0,0,0.0,0
8,0.0,0,0,0.0,0
9,0.0,0,0,0.0,0
10,0.0,0,0,0.0,0
11,0.0,0,0,0.0,0
12,10.0,0,13,0.935,10
13,0.0,0,0,0.0,0
14,0.0,0,0,0.0,0
15,9.0,0,11,0.755,10
16,37.0,31,44,1.0,37
17,25.0,20,30,1.0,25
18,11.0,0,13,0.963,10
19,0.0,0,0,0.0,0
20,0.0,0,0,0.0,0
21,0.0,0,0,0.0,0
22,0.0,0,0,0.0,0
23,12.0,10,15,1.0,13
24,0.0,0,0,0.0,0
25,0.0,0,10,0.406,0
