name,median,lo,hi,in
stredopravica,61.0,49,73,1.0
stredopravica + HLAS,90.0,78,105,1.0
stredopravica + HLAS bez OĽaNO,74.0,63,87,1.0
SMER + SNS + HLAS,55.0,41,64,1.0
pragmatici + nacionalisti + HLAS,84.0,72,96,1.0
pragmatici + nacionalisti,76.0,64,88,1.0
