name,median,lo,hi,in
stredopravica,62.0,52,72,1.0
stredopravica + HLAS,89.0,79,102,1.0
stredopravica + HLAS bez OĽaNO,74.0,64,86,1.0
SMER + SNS + HLAS,55.0,43,65,1.0
pragmatici + nacionalisti + HLAS,83.0,72,94,1.0
pragmatici + nacionalisti,76.0,66,88,1.0
