id,median,lo,hi,in
1,20.0,16,25,0.999
2,16.0,0,19,0.924
3,26.0,21,32,1.0
4,0.0,0,0,0.0
5,29.0,24,36,1.0
6,0.0,0,0,0.0
7,0.0,0,0,0.0
8,0.0,0,0,0.0
9,0.0,0,0,0.0
10,0.0,0,0,0.0
11,0.0,0,0,0.0
12,0.0,0,15,0.227
13,0.0,0,15,0.286
14,0.0,0,0,0.0
15,0.0,0,0,0.0
16,32.0,26,39,1.0
17,20.0,16,24,0.997
18,0.0,0,0,0.0
19,0.0,0,0,0.0
20,0.0,0,0,0.0
21,0.0,0,0,0.0
22,0.0,0,0,0.0
23,0.0,0,0,0.0
24,0.0,0,0,0.0
25,0.0,0,0,0.0
