name,median,lo,hi,in
stredopravica,63.0,52,76,1.0
stredopravica + HLAS,92.0,80,108,1.0
stredopravica + HLAS bez OĽaNO,75.0,63,89,1.0
SMER + SNS + HLAS,52.0,38,64,1.0
pragmatici + nacionalisti + HLAS,81.0,68,94,1.0
pragmatici + nacionalisti,76.0,65,90,1.0
