name,median,lo,hi,in
stredopravica,70.0,60,80,1.0
stredopravica + HLAS,95.0,85,109,1.0
stredopravica + HLAS bez OĽaNO,77.0,68,89,1.0
SMER + SNS + HLAS,49.0,38,60,1.0
pragmatici + nacionalisti + HLAS,75.0,66,85,1.0
pragmatici + nacionalisti,72.0,62,83,1.0
