x,y
0,0.201840000001067
1,0.195972391303703
2,0.19010478260634
3,0.184237173908976
4,0.178369565211612
5,0.172501956514249
6,0.166634347816885
7,0.160766739119522
8,0.154899130422158
9,0.149031521724794
10,0.143163913027431
11,0.137296304330067
12,0.131428695632704
13,0.12556108693534
14,0.120489655387209
15,0.118696680177164
16,0.116903704967119
17,0.115110729757073
18,0.113317754547028
19,0.111524779336983
20,0.109731804126938
21,0.107938828916892
22,0.106145853706847
23,0.104352878496802
24,0.102559903286756
25,0.100766928076711
26,0.098973952866666
27,0.0971809776566207
28,0.0953880024465754
29,0.0935950272365301
30,0.0918020520264849
31,0.0900090768164397
32,0.0882161016063944
33,0.0864231263963491
34,0.0846301511863039
35,0.0828371759762586
36,0.0812210478776187
37,0.0798649462160115
38,0.0785088445544042
39,0.0771527428927971
40,0.0757966412311898
41,0.0744405395695825
42,0.0730844379079754
43,0.0717283362463681
44,0.0703722345847608
45,0.0690161329231537
46,0.0676600312615464
47,0.0663039295999393
48,0.064947827938332
49,0.0635917262767247
50,0.0622356246151176
51,0.0608795229535103
52,0.0595234212919031
53,0.0581673196302959
54,0.0568112179686886
55,0.0554551163070814
56,0.0540990146454742
57,0.0527429129838669
58,0.0513868113222598
59,0.0500307096606525
60,0.0486746079990452
61,0.0473185063374381
62,0.0459624046758308
63,0.0447341369767117
64,0.0437871858513592
65,0.0428402347260068
66,0.0418932836006544
67,0.0409463324753019
68,0.0399993813499494
69,0.039052430224597
70,0.0381054790992446
71,0.0371585279738921
72,0.0362115768485396
73,0.0352646257231872
74,0.0343176745978347
75,0.0333707234724823
76,0.0324237723471299
77,0.0314768212217774
78,0.0305298700964249
79,0.0295829189710725
80,0.0286359678457201
81,0.0276890167203676
82,0.0267420655950151
83,0.0257951144696626
84,0.0248356887394835
85,0.0238669361340077
86,0.022898183528532
87,0.0219294309230562
88,0.0209606783175804
89,0.0199919257121047
90,0.0190231731066289
91,0.0180544205011532
92,0.0170856678956774
93,0.0161169152902017
94,0.0142328481113186
95,0.0118607067594322
96,0.00948856540754572
97,0.00711642405565927
98,0.00474428270377281
99,0.00237214135188635
100,0
1000,0
