OKRES|PS|P_HL_PS|DAT_AKT
201|3|9|30.09.2023 23:00:00
201|5|6|
201|9|1|
201|12|1|
201|13|4|
201|16|8|
201|17|6|
201|18|27|
201|23|2|
301|3|5|
301|4|1|
301|5|1|
301|13|1|
301|15|2|
301|16|11|
301|17|7|
301|22|1|
301|25|1|
402|3|7|
402|5|1|
402|15|5|
402|16|8|
402|17|6|
402|21|1|
402|23|1|
402|25|1|
505|2|1|
505|3|14|
505|5|6|
505|6|1|
505|12|2|
505|13|5|
505|14|1|
505|15|6|
505|16|22|
505|17|30|
505|18|1|
505|21|4|
505|22|2|
505|23|6|
505|25|4|
511|3|17|
511|5|5|
511|12|5|
511|13|2|
511|15|19|
511|16|39|
511|17|36|
511|22|1|
511|23|10|
511|25|27|
607|3|8|
607|5|3|
607|12|1|
607|13|3|
607|15|9|
607|16|28|
607|17|7|
607|18|1|
607|19|1|
607|21|5|
607|23|1|
607|25|12|
608|1|2|
608|3|7|
608|5|14|
608|7|4|
608|12|1|
608|13|3|
608|15|4|
608|16|11|
608|17|17|
608|18|57|
608|23|1|
608|25|2|
609|1|4|
609|2|1|
609|3|34|
609|5|36|
609|6|3|
609|7|3|
609|8|1|
609|10|1|
609|12|21|
609|13|23|
609|15|12|
609|16|92|
609|17|77|
609|18|37|
609|21|10|
609|22|9|
609|23|2|
609|25|30|
701|3|3|
701|5|1|
701|12|2|
701|13|3|
701|15|1|
701|16|16|
701|17|12|
701|23|5|
701|25|8|
702|3|4|
702|5|4|
702|13|3|
702|15|7|
702|16|33|
702|17|26|
702|20|2|
702|22|4|
702|23|2|
702|25|8|
703|1|1|
703|3|27|
703|5|12|
703|6|1|
703|11|2|
703|12|11|
703|13|1|
703|15|13|
703|16|24|
703|17|29|
703|22|6|
703|23|19|
703|24|1|
703|25|22|
704|3|8|
704|12|1|
704|13|1|
704|15|3|
704|16|6|
704|17|8|
704|21|2|
704|22|2|
704|23|28|
704|25|3|
705|3|6|
705|5|1|
705|9|1|
705|12|3|
705|13|6|
705|14|1|
705|15|7|
705|16|27|
705|17|23|
705|21|2|
705|22|2|
705|23|4|
705|25|6|
708|3|8|
708|5|1|
708|12|5|
708|15|2|
708|16|6|
708|17|15|
708|22|2|
708|23|5|
708|25|5|
709|3|1|
709|6|2|
709|7|1|
709|16|8|
709|17|9|
709|21|1|
709|22|2|
709|25|2|
710|3|8|
710|5|3|
710|12|6|
710|13|5|
710|15|4|
710|16|27|
710|17|10|
710|23|2|
710|25|6|
711|2|1|
711|3|7|
711|6|2|
711|7|1|
711|12|2|
711|13|7|
711|14|1|
711|15|8|
711|16|27|
711|17|24|
711|21|1|
711|23|17|
711|25|7|
712|2|2|
712|3|24|
712|4|1|
712|5|6|
712|6|3|
712|10|1|
712|11|2|
712|12|8|
712|13|6|
712|15|19|
712|16|94|
712|17|51|
712|21|2|
712|23|22|
712|25|10|
713|1|3|
713|3|23|
713|5|17|
713|6|2|
713|9|1|
713|12|7|
713|13|7|
713|14|1|
713|15|27|
713|16|47|
713|17|40|
713|19|1|
713|20|1|
713|22|4|
713|23|30|
713|25|17|
806|3|7|
806|5|1|
806|10|1|
806|12|2|
806|13|1|
806|15|2|
806|16|27|
806|17|4|
806|18|1|
806|21|2|
806|23|8|
806|25|1|
808|1|1|
808|3|25|
808|5|12|
808|12|6|
808|13|3|
808|15|4|
808|16|11|
808|17|12|
808|18|29|
808|21|4|
808|23|1|
808|25|3|
