OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
201|1|117|64|64|64|30.09.2023 23:00:00
301|1|44|30|30|30|
402|1|41|31|31|30|
505|1|146|105|105|105|
511|1|207|164|164|161|
607|1|116|79|79|79|
608|2|209|124|124|123|
609|10|730|401|401|396|
701|2|54|52|52|51|
702|2|123|95|95|93|
703|2|247|170|170|169|
704|1|76|63|63|62|
705|2|130|91|91|89|
708|1|72|50|50|49|
709|1|31|27|27|26|
710|2|89|71|71|71|
711|4|148|108|108|105|
712|7|306|254|254|251|
713|3|319|234|233|228|
806|1|78|57|57|57|
808|2|174|114|114|111|
