PS|PC_HL|P_HL_KAN|DAT_AKT
1|1|2|30.09.2023 23:00:00
1|2|2|
1|3|0|
1|4|4|
1|5|2|
1|6|1|
1|7|1|
1|8|0|
1|9|0|
1|10|0|
1|11|0|
1|12|0|
1|13|1|
1|14|1|
1|15|0|
1|16|1|
1|17|0|
1|18|0|
1|19|0|
1|20|0|
1|21|0|
1|22|0|
1|23|0|
1|24|0|
1|25|0|
1|26|1|
1|27|1|
1|28|0|
1|29|0|
1|30|0|
1|31|1|
1|32|0|
1|33|0|
1|34|0|
1|35|0|
1|36|0|
1|37|0|
1|38|0|
1|39|0|
1|40|0|
1|41|0|
1|42|0|
1|43|0|
1|44|0|
1|45|0|
1|46|0|
1|47|0|
1|48|0|
1|49|0|
1|50|0|
1|51|0|
1|52|0|
1|53|1|
1|54|0|
1|55|0|
1|56|0|
1|57|0|
1|58|0|
1|59|0|
1|60|0|
2|1|0|
2|2|0|
2|3|0|
2|4|2|
2|5|0|
2|6|0|
2|7|0|
2|8|0|
2|9|0|
2|10|0|
2|11|0|
2|12|0|
2|13|0|
2|14|0|
2|15|0|
2|16|0|
2|17|0|
2|18|1|
2|19|0|
2|20|0|
2|21|0|
2|22|0|
2|23|0|
2|24|0|
2|25|0|
2|26|0|
2|27|0|
2|28|0|
2|29|0|
2|30|0|
2|31|0|
2|32|0|
2|33|0|
2|34|0|
2|35|0|
2|36|0|
2|37|0|
2|38|1|
2|39|1|
2|40|0|
2|41|0|
2|42|0|
2|43|0|
2|44|0|
2|45|0|
2|46|1|
2|47|2|
2|48|0|
2|49|0|
2|50|1|
2|51|0|
2|52|0|
2|53|0|
2|54|0|
2|55|1|
2|56|0|
2|57|2|
2|58|0|
2|59|0|
2|60|0|
2|61|0|
2|62|0|
2|63|0|
2|64|1|
2|65|0|
2|66|0|
2|67|0|
2|68|0|
2|69|1|
2|70|0|
3|1|151|
3|2|50|
3|3|48|
3|4|26|
3|5|29|
3|6|13|
3|7|8|
3|8|4|
3|9|17|
3|10|17|
3|11|9|
3|12|8|
3|13|10|
3|14|6|
3|15|35|
3|16|5|
3|17|8|
3|18|9|
3|19|1|
3|20|3|
3|21|5|
3|22|5|
3|23|5|
3|24|5|
3|25|4|
3|26|2|
3|27|4|
3|28|1|
3|29|0|
3|30|0|
3|31|3|
3|32|2|
3|33|0|
3|34|1|
3|35|8|
3|36|1|
3|37|2|
3|38|4|
3|39|3|
3|40|1|
3|41|0|
3|42|4|
3|43|0|
3|44|0|
3|45|1|
3|46|2|
3|47|0|
3|48|0|
3|49|0|
3|50|1|
3|51|1|
3|52|9|
3|53|1|
3|54|1|
3|55|1|
3|56|0|
3|57|0|
3|58|7|
3|59|0|
3|60|4|
3|61|1|
3|62|0|
3|63|10|
3|64|0|
